word1,word2,Simlex999,Std Deviation,Variance,Count,POS
woord,krant,1.33,1.16,1.34,16,N
woord,literatuur,2.92,2.1,4.41,16,N
woord,woordenboek,2.48,2.58,6.64,16,N
zee,oceaan,7.11,3.15,9.9,16,N
zeggen,deelnemen,2.67,2.29,5.23,16,V
zonsondergang,zonsopgang,3.67,3.32,11.02,16,N
zoon,vader,2.71,3.28,10.77,16,N
zuid,noord,2.93,3.08,9.47,16,N
aandacht,bewustzijn,5.36,2.61,6.81,17,N
aanmoedigen,ontmoedigen,1.71,2.18,4.74,17,V
aanwezigheid,deur,1.02,1.5,2.25,17,N
aardig,wreed,1.28,1.53,2.34,17,A
aartsbisschop,bisschop,6.76,1.57,2.46,17,N
accepteren,aanbevelen,2.42,2.22,4.93,17,V
accepteren,bezorgen,1.41,1.55,2.41,17,V
accepteren,vergeven,3.64,2.26,5.11,17,V
activiteit,beweging,6.22,1.91,3.64,17,N
actrice,acteur,8.33,2.22,4.91,17,N
adviseren,aanbevelen,7.26,2.92,8.56,17,V
akkoord gaan,argumenteren,2.52,2.25,5.05,17,V
alcohol,whisky,3.48,2.88,8.31,17,N
alcohol,wijn,3.94,2.62,6.84,17,N
anders,normaal,1.16,0.95,0.91,17,A
appartement,hotel,3.4,2.47,6.08,17,N
appel,snoep,1.69,2.08,4.35,17,N
argumenteren,overtuigen,5.75,2.7,7.27,17,V
argumenteren,rationaliseren,4,3.39,11.49,17,V
arm,ader,2.05,2.38,5.65,17,N
arm,knie,1.63,1.84,3.39,17,N
artikel,tijdschrift,3.16,2.86,8.15,17,N
augustus,maand,3.9,2.7,7.29,17,N
auto,lift,1.41,1.47,2.15,17,N
auto,snelweg,3.12,3.46,11.98,17,N
auto,fabriek,1.74,1.98,3.91,17,N
auto,slang,1.38,2.23,4.99,17,N
avond,schemering,5.64,2.64,6.97,17,N
bal,kostuum,2.64,2.69,7.25,17,N
balk,gevangenis,1.42,1.86,3.45,17,N
ballade,lied,5.53,2.8,7.84,17,N
bank,stoel,5.38,2.96,8.76,17,N
basketbal,honkbal,2.53,2.6,6.78,17,N
bed,meubels,3.31,2.53,6.41,17,N
bedrijf,industrie,4.18,2.95,8.68,17,N
bedrijf,onderneming,8.72,1.19,1.41,17,N
beest,dier,8.59,1.63,2.67,17,N
beginnen,gaan,2.19,1.62,2.64,17,V
beginnen,stoppen,1.89,2.66,7.09,17,V
beginnen,ontstaan,6.62,2.79,7.78,17,V
begrijpen,luisteren,3.99,2.9,8.39,17,V
begrijpen,weten,4.81,2.85,8.14,17,V
bel,deur,2.09,2.11,4.46,17,N
beleefd,gepast,6.28,2.62,6.88,17,A
belichamen,melden,1.44,1.86,3.46,17,V
benoemen,kiezen,1.87,1.35,1.82,17,V
bepalen,voorspellen,2.69,2.32,5.4,17,V
bereiken,proberen,2.68,2.49,6.22,17,V
berg,richel,1.58,1.9,3.6,17,N
besteden,redden,1.06,0.75,0.56,17,V
betaalbaar,goedkoop,6.43,2.17,4.71,17,A
bier,champagne,1.99,2.28,5.2,17,N
bijwonen,aankomen,1.32,1.05,1.1,17,V
biografie,fictie,1,1.7,2.9,17,N
bizar,vreemd,8.11,2.07,4.27,17,A
blik,aluminium,5.78,2.83,8.02,17,N
blik,metaal,3.5,2.75,7.55,17,N
bloed,vlees,3.8,3.43,11.76,17,N
boek,bijbel,4.72,2.89,8.37,17,N
boek,essay,3.16,2.66,7.09,17,N
boek,tekst,5.78,2.74,7.49,17,N
boomstam,bad,0.96,0.82,0.66,17,N
boomstam,hout,3.72,2.65,7.01,17,N
boon,koffie,5.62,3.09,9.53,17,N
boos,blij,2.16,2.85,8.15,17,A
boot,anker,1.98,2.31,5.34,17,N
botten,enkel,1.93,2.03,4.12,17,N
botten,nek,2.21,2.13,4.53,17,N
breed,smal,1.79,2.28,5.19,17,A
breekbaar,kil,1.35,1.87,3.49,17,A
brengen,sturen,2.19,1.58,2.5,17,V
brief,paragraaf,1.76,1.66,2.74,17,N
broederschap,honkbal,1.5,1.55,2.4,17,N
broer,zoon,2.89,2.28,5.19,17,N
brood,kaas,2.62,3.18,10.1,17,N
brood,meel,4.62,3.48,12.11,17,N
broodje,lunch,3.62,2.37,5.62,17,N
bruid,prinses,2.25,2.09,4.37,17,N
buik,slaapkamer,0.77,1.08,1.17,17,N
cabine,hut,6.18,2.87,8.21,17,N
cd,computer,2.05,1.64,2.7,17,N
cent,maat,1.2,1.14,1.31,17,N
citroen,thee,1.7,2,3.99,17,N
code,symbool,3.77,2.98,8.91,17,N
communicatie,gesprek,6.98,1.7,2.89,17,N
competentie,vermogen,7.73,2.33,5.41,17,N
componist,schrijver,4.21,2.25,5.07,17,N
conditie,jongen,0.98,1.6,2.57,17,N
container,muis,0.94,1.88,3.53,17,N
creëren,vernietigen,1.44,2.42,5.86,17,V
creëren,voorstellen,2.43,2.53,6.38,17,V
cruciaal,belangrijk,8.59,1.08,1.16,17,A
dag,dageraad,4.09,3.36,11.29,17,N
dak,vloer,1.15,0.79,0.62,17,N
datum,kalender,4.26,3.3,10.9,17,N
decennium,eeuw,2.55,2.32,5.39,17,N
dek,muis,1.03,0.97,0.94,17,V
denken,besluiten,2.2,1.92,3.69,17,V
deur,gang,1.98,2.05,4.2,17,N
deur,kelder,1.29,1.47,2.17,17,N
dier,persoon,3.52,2.92,8.51,17,N
diner,kip,1.88,1.78,3.17,17,N
diner,soep,2.7,2.45,5.98,17,N
diner,ontbijt,2.5,2.32,5.4,17,N
doden,vernietigen,4.8,2.39,5.7,17,N
doelwit,zoektocht,1.91,1.87,3.48,17,V
doen,gebeuren,2.86,2.59,6.69,17,V
doen alsof,lijken,5.86,3.03,9.17,17,V
doen alsof,uitbeelden,5.41,2.67,7.14,17,N
dokter,professor,4.68,2.6,6.74,17,N
dokter,orthodontist,2.54,2.51,6.32,17,N
dom,dwaas,6.57,2.58,6.64,17,A
dom,onderontwikkeld,4.56,2.96,8.79,17,A
doos,lift,0.79,0.73,0.54,17,N
doos,kraampje,1.39,1.36,1.84,17,V
dragen,brengen,1.86,2.17,4.72,17,N
eenvoudig,gemakkelijk,9.04,0.9,0.81,17,A
eiland,taak,0.8,0.79,0.62,17,A
elegantie,stijl,6.35,2.37,5.6,17,N
enkel,raam,0.86,0.8,0.64,17,A
enorm,sprakeloos,0.99,1.29,1.67,17,V
essentieel,noodzakelijk,8.55,1.51,2.29,17,A
falen,ontmoedigen,2.67,2.73,7.43,17,A
fantastisch,kwaad,0.95,0.85,0.73,17,N
feest,ceremonie,5.23,2.51,6.31,17,N
fiets,slaapkamer,0.83,1.39,1.94,17,N
film,filmrol,3.92,3.04,9.27,17,N
fles,container,2.75,1.79,3.22,17,A
gaan,binnenkomen,2.11,1.96,3.84,17,V
gaan,sturen,1.72,1.73,2.98,17,V
gaan,verkopen,0.96,0.87,0.76,17,N
gat,overeenkomst,0.78,1.16,1.35,17,N
geld,vermogen,6.36,2.63,6.93,17,N
geloof,indruk,2.04,2.08,4.34,17,N
gelukkig,vrolijk,6.49,2.15,4.62,17,A
gelukkig,boos,0.98,1.77,3.12,17,A
genieten,vermaken,4.37,2.48,6.14,17,N
gevaar,bedreiging,7.87,1.17,1.38,17,N
gevangenis,keuze,0.98,1.67,2.78,17,V
geven,uitlenen,2.07,1.65,2.73,17,V
geven,weten,1.05,0.94,0.88,17,V
geven,stelen,1.19,1.65,2.74,17,V
gewelddadig,boos,3.48,2.16,4.66,17,A
geweldig,vreselijk,2,2.93,8.58,17,N
glas,kristal,6.08,2.38,5.66,17,N
god,duivel,2.14,2.62,6.87,17,N
god,prooi,0.72,1.15,1.33,17,N
graan,tarwe,6.81,2.06,4.24,17,N
gras,stro,3.93,1.95,3.81,17,N
griep,koorts,5.13,2.52,6.33,17,V
groot,flexibel,1.63,1.62,2.64,17,A
groot,breed,4.4,2.85,8.1,17,A
hand,pols,2.55,2.63,6.9,17,N
hard,dicht,1.33,1.44,2.06,17,N
heerlijk,prachtig,4.76,2.36,5.55,17,A
heerlijk,vrolijk,3.03,1.78,3.18,17,N
helper,huishulp,5.37,2.75,7.54,17,N
herinneren,vergeten,1.55,1.94,3.77,17,N
heup,lip,1.06,1.37,1.88,17,N
hoed,jas,1.54,2.05,4.19,17,N
hogeschool,klas,3.07,2.42,5.88,17,N
hond,paard,2.16,2.27,5.15,17,N
hoofd,nagel,1.22,1.97,3.89,17,N
hoofdstuk,keuze,1.44,1.98,3.92,17,N
hoorn,trommel,1.4,1.99,3.95,17,V
houden,beschermen,2.88,2.58,6.65,17,V
houden,geven,1.72,2.1,4.43,17,V
hout,stam,2.84,2.28,5.2,17,N
houtskool,kool,4.24,3.05,9.27,17,N
huis,tapijt,1.74,2.14,4.6,17,N
humeur,emotie,4.83,2.51,6.32,17,N
idee,beeld,5.46,3.14,9.89,17,N
illegaal,immoreel,3.39,2.14,4.58,17,V
insect,bij,3.37,2.59,6.72,17,N
intelligentie,logica,4.36,2.72,7.39,17,N
intelligentie,vaardigheid,2.87,2.05,4.19,17,N
intelligentie,inzicht,4.66,2.95,8.69,17,N
jachthond,vos,2.99,2.66,7.09,17,N
jongen,kind,3.78,2.45,6.01,17,N
kamer,bad,1.31,1.54,2.38,17,N
kampioen,winnaar,8.16,1.3,1.68,17,N
kat,huisdier,4.13,2.98,8.9,17,N
kat,leeuw,3.33,2.87,8.21,17,N
kerel,partner,3.45,2.24,5,17,N
kerel,meisje,1.14,1.42,2.01,17,N
kerk,koor,1.89,2.2,4.86,17,N
kerktoren,kapel,4.07,2.87,8.23,17,N
kiezen,stemmen op,5.45,2.14,4.59,17,N
kind,jongen,3.69,2.1,4.42,17,N
kip,rijst,1.93,2.43,5.88,17,N
kip,steak,2.53,2.46,6.06,17,V
klagen,argumenteren,1.05,1.19,1.41,17,N
kleding,textiel,4.69,3.57,12.74,17,N
kleding,jas,3.18,2.33,5.41,17,N
kleding,mantel,2.4,2.2,4.85,17,N
kleding,lade,1.82,2.07,4.3,17,A
kom,staart,0.67,1.1,1.21,17,V
kort,lang,1.78,2.52,6.37,17,N
kracht,vermogen,6.92,1.87,3.51,17,A
ledemaat,been,4.74,2.55,6.51,17,N
leider,burgemeester,4.16,3.34,11.17,17,N
leider,manager,7.14,2.48,6.13,17,V
lepel,beker,1.52,2.11,4.45,17,N
leuk,grootmoedig,2.06,1.9,3.61,17,N
lever,long,2.47,2.66,7.08,17,V
lezen,begrijpen,3.37,2.8,7.83,17,N
lichaam,borst,1.63,1.05,1.11,17,N
lichaam,buik,2.03,1.73,2.98,17,N
lichaam,ruggengraat,1.62,1.55,2.41,17,N
lichaam,schouder,2.59,2.21,4.9,17,N
linnen,stof,5.48,2.9,8.39,17,N
logica,rekenkunde,4.15,2.98,8.87,17,V
luchtvaart,vlucht,3.57,2.52,6.37,17,V
maaltijd,diner,6.75,1.73,2.99,17,N
maan,planeet,4.28,3.37,11.36,17,N
maat,omvang,5.5,2.8,7.82,17,N
maken,worden,2.15,1.42,2.01,17,N
makkelijk,groot,0.96,0.96,0.92,17,A
makkelijk,moeilijk,2.17,3.03,9.18,17,A
makkelijk,flexibel,5.85,2.88,8.27,17,A
man,echtgenoot,5.51,3.13,9.82,17,N
man,kind,1.85,2.23,4.98,17,N
man,schildwacht,1.48,1.46,2.12,17,N
man,strijder,2.21,2.13,4.54,17,N
marihuana,kruid,4.18,2.99,8.95,17,N
marine,leger,6.68,2.24,5,17,N
meer,moeras,1.91,2.02,4.07,17,N
meisje,dienstmeisje,1.93,2.36,5.55,17,N
menigte,massa,8.29,1.43,2.05,17,N
menigte,parade,2.74,2.36,5.58,17,N
mening,keuze,3.29,2.34,5.48,17,N
mening,idee,5.32,2.65,7,17,N
mensen,partij,2.15,2.62,6.87,17,N
metaal,aluminium,4.56,2.8,7.83,17,N
meter,decimeter,3.28,2.48,6.13,17,N
misdaad,fraude,5.45,2.53,6.39,17,N
modern,oud,1.15,1.82,3.3,17,A
moeder,beschermer,3.08,2.92,8.51,17,N
molecuul,atoom,4.95,3.02,9.15,17,N
mond,tand,3.47,3.47,12.01,17,N
mooi,prachtig,7.24,2.25,5.04,17,A
motregen,regen,5.91,3.29,10.81,17,N
nacht,hoofdstuk,1.2,1.89,3.57,17,N
nagel,duim,4.46,3.03,9.18,17,N
nagel,hand,2.84,3.29,10.82,17,N
najagen,overtuigen,2.99,2.65,7.04,17,V
negeren,vermijden,5.87,1.96,3.85,17,V
nemen,leveren,2.57,3.08,9.46,17,V
nieuw,vers,6.69,2.06,4.23,17,A
oever,kust,5.08,2.2,4.82,17,N
officier van justitie,advocaat,3.25,3.19,10.14,17,N
olie,nerts,1.81,1.45,2.09,17,N
omstandigheid,situatie,7.51,2.06,4.25,17,N
onderkant,zijkant,2.15,2.23,4.98,17,N
ongeduldig,nerveus,4.22,2.62,6.86,17,A
ongeval,noodgeval,5.8,2.78,7.72,17,N
ongeval,ramp,5.48,2.02,4.08,17,N
ontbijt,avondeten,2.34,2.58,6.68,17,N
oog,traan,4.61,3.4,11.53,17,N
opnemen,bezitten,1.57,1.22,1.49,17,V
opnemen,leren,4.69,2.35,5.52,17,V
opslagplaats,hut,2.47,1.98,3.92,17,N
organiseren,worden,1.34,1.79,3.2,17,V
ouder,volwassene,5.33,2.62,6.86,17,N
overnadenken,denken,6.74,1.66,2.76,17,V
overwinnen,domineren,3.93,2.65,7.05,17,V
overwinning,zege,7.93,1.99,3.97,17,N
papier,karton,4.51,2.28,5.2,17,N
pistool,kanon,4.19,2.43,5.92,17,N
pistool,truc,0.94,0.75,0.56,17,N
pistool,dageraad,1,1.71,2.91,17,N
pleiten,bedelen,1.73,1.85,3.4,17,V
polyester,katoen,2.23,2.46,6.05,17,N
portemonnee,tas,3.52,2.89,8.35,17,N
pot,huishoudelijk apparaat,2.36,2.35,5.5,17,N
president,burgemeester,2.51,2.19,4.78,17,N
priester,monnik,3.98,2.56,6.58,17,N
prinses,eiland,0.87,0.81,0.66,17,N
redden,beschermen,3.8,2.12,4.48,17,V
reflectie,afbeelding,3.46,1.57,2.48,17,N
rijkdom,aanzien,3.08,2.13,4.55,17,N
rijst,boon,2.13,2.02,4.07,17,N
rijst,jongen,0.87,0.94,0.89,17,N
ritme,melodie,5.65,2.92,8.5,17,N
rivier,vallei,2.58,2.65,7,17,N
ruw,koel,1.39,1.07,1.14,17,A
samenvoegen,trouwen,2.74,2.55,6.53,17,V
samenvoegen,toevoegen,3.43,3.16,10,17,V
school,wet,2.17,2.92,8.52,17,N
schuldig,beschaamd,3.54,2.6,6.76,17,A
situatie,omstandigheid,7.76,2.07,4.3,17,N
slagen,falen,1.43,1.97,3.87,17,V
slagen,proberen,1.8,1.77,3.14,17,V
slim,dom,2.72,3.12,9.76,17,A
sluw,koppig,1.54,1.64,2.68,17,A
sluw,slim,4.08,3.01,9.09,17,A
spek,boon,1.68,2.48,6.16,17,N
spier,botten,1.81,1.87,3.51,17,N
spreken,erkennen,1.42,0.85,0.72,17,V
steeg,kom,0.82,1.21,1.47,17,N
stellig,zeker,5.41,3.64,13.28,17,A
stijl,mode,6.08,2.36,5.59,17,N
stoel,bank,2.67,2.16,4.66,17,N
straal,zonneschijn,4.99,3.06,9.38,17,N
straat,auto,0.89,0.72,0.52,17,N
strand,kust,7.2,1.88,3.54,17,N
strand,zee,4.62,3.39,11.52,17,N
strand,eiland,2.72,2.65,7.03,17,N
student,president,1.28,2.14,4.59,17,N
sturen,ontvangen,1.78,2.26,5.1,17,V
taak,beroep,2.95,2.27,5.16,17,N
taak,snelweg,0.94,1.55,2.4,17,N
taak,vrouw,1.48,2.26,5.1,17,N
tabak,sigaret,5.7,2.92,8.51,17,N
tandarts,kolonel,0.7,1.3,1.69,17,N
tante,neef,2.33,2.52,6.37,17,N
taxi,bus,2.04,1.77,3.13,17,N
toevoegen,bouwen,2.42,2.06,4.26,17,V
truc,maat,1.32,1.44,2.07,17,N
uitbundigheid,overvloed,4.44,3.06,9.34,17,N
vader,moeder,5.4,3.2,10.21,17,N
vader,god,1.76,1.85,3.44,17,N
vader,ouder,6.89,2.53,6.38,17,N
vee,rundvlees,3.59,3.12,9.75,17,N
verdrag,overeenkomst,8.48,1.37,1.87,17,N
vergeten,negeren,2.34,2.2,4.84,17,V
vergeven,vergeten,3.01,3.04,9.22,17,V
verjaardag,jaar,4.39,3.11,9.68,17,N
bekendmaken,aankondigen,5.2,2.51,6.32,17,V
vermoeden,doen alsof,1.21,1.47,2.15,17,V
vermoeden,voorspellen,5.11,1.96,3.83,17,V
vers,breed,1.29,1.79,3.21,17,A
vertrekken,zwerven,2.52,2.46,6.04,17,V
vertrekken,verschijnen,1.27,1.36,1.86,17,V
verwerven,krijgen,5.04,3.18,10.14,17,V
verzamelen,ontmoeten,3.22,2.72,7.39,17,V
vinger,handpalm,1.15,0.97,0.93,17,N
viool,instrument,3.86,2.62,6.88,17,N
vitamine,ijzer,2.42,2.5,6.24,17,N
vlees,broodje,1.7,2.38,5.67,17,N
vloer,plafond,1.93,2.21,4.86,17,N
voertuig,bus,3.6,3.42,11.7,17,N
vogel,kip,4.27,3.17,10.02,17,N
vogel,kalkoen,4.18,2.37,5.62,17,N
volwassene,baby,2.32,2.99,8.96,17,N
vreugde,trots,3.28,2.71,7.36,17,N
vriend,maat,7.25,2.71,7.33,17,N
vriend,gast,2.89,2.42,5.87,17,N
vriend,partner,5.84,1.97,3.87,17,N
vriendelijk,vrijgevig,4.57,2.83,7.99,17,A
vrouw,secretaresse,1.84,1.64,2.7,17,N
vrouw,echtgenote,6.59,2.44,5.98,17,N
wagen,rijtuig,7.05,2.54,6.44,17,N
wagen,container,2.6,2.74,7.53,17,N
wang,tong,3.22,2.49,6.18,17,N
wanhoop,ongeluk,4.35,3.55,12.6,17,N
water,ijs,3.37,3.11,9.65,17,N
werkgever,werknemer,2.86,2.93,8.61,17,N
weten,begrijpen,5.32,2.33,5.42,17,V
wetenschap,psychologie,3.16,2.84,8.06,17,N
wijn,brandewijn,3.29,2.78,7.75,17,N
wijn,likeur,3,2.31,5.34,17,N
wijsheid,intelligentie,6.42,2.54,6.45,17,N
winnaar,kandidaat,1.68,1.9,3.6,17,N
woede,stemming,2.17,1.99,3.96,17,N
wolk,mist,6.5,2.14,4.56,17,N
wolk,nevel,5.85,2.35,5.54,17,N
wolk,waas,4.77,2.36,5.55,17,N
wolk,weer,1.94,1.95,3.8,17,N
woordenboek,definitie,2.42,2.41,5.79,17,N
worden,verschijnen,2.97,2.05,4.21,17,V
zaad,mosterd,1.88,1.93,3.72,17,N
zelden,zeldzaam,6.09,2.59,6.7,17,A
zelfvertrouwen,zelf,2.1,1.64,2.68,17,N
ziek,gek,2.3,2.03,4.13,17,A
zondaar,heilige,1.57,1.92,3.67,17,N
bed,stoel,2.07,2.66,7.08,18,N
beroep,management,2.04,2.56,6.54,18,N
blijven,behouden,5.54,2.61,6.82,18,V
boter,aardappel,1.04,1.11,1.24,18,N
broederschap,deur,1.85,3.18,10.09,18,N
camera,president,1.69,2.48,6.16,18,N
decimeter,centimeter,3.23,3.16,9.99,18,V
desorganiseren,organiseren,2.68,2.76,7.61,18,N
emotie,passie,5.09,2.49,6.18,18,N
gelukkigheid,vrede,3.98,3.18,10.12,18,V
hut,huisje,6.41,1.96,3.83,18,N
mensen,cent,1.05,1.42,2.01,18,N
nemen,stelen,4.14,2.54,6.46,18,V
nemen,verkrijgen,4.83,2.82,7.94,18,V
nerts,bont,3.36,3.16,9.96,18,N
onrustig,jong,1.37,1.87,3.5,18,A
proberen,denken,0.99,1.5,2.26,18,V
rat,muis,4.75,3.03,9.2,18,N
suiker,honing,3.32,2.22,4.92,18,N
vertrekken,binnenkomen,1.88,2.35,5.54,18,V
vinden,verdwijnen,1.49,2.32,5.39,18,V
vragen,pleiten,2.31,2.5,6.24,18,V
vreemd,eigenaardig,7.41,2.9,8.43,18,A
woord,referentie,2.07,2.59,6.72,18,N
zin,woord,2.91,2.77,7.66,18,N
zonsondergang,avond,5.22,2.9,8.43,18,N
arm,spier,2.86,2.6,6.74,19,N
atoom,koolstof,2.26,2.12,4.51,19,N
bed,bank,2.57,2.29,5.23,19,N
bed,deken,3.27,3.15,9.94,19,N
bloem,volharding,1.55,1.59,2.53,19,N
boot,auto,1.7,1.65,2.72,19,N
chocolade,taart,2.32,2.13,4.53,19,N
feit,inzicht,2.6,2.37,5.6,19,N
geld,parel,1.45,1.3,1.69,19,N
god,priester,2.51,2.79,7.77,19,N
hand,duim,2.81,2.69,7.22,19,N
jongen,soldaat,1.51,1.51,2.29,19,N
kanker,ziekte,5.18,3.56,12.7,19,N
kapitein,matroos,4.25,3.18,10.11,19,N
kinderbed,wieg,6.15,2.64,6.97,19,N
krant,informatie,3.86,3.13,9.77,19,V
moeilijk,gemakkelijk,1.92,2.58,6.67,19,A
muziek,melodie,5.26,2.98,8.88,19,N
neef,oom,3.1,2.96,8.77,19,N
negeren,vragen,0.76,0.6,0.36,19,V
scheikunde,theorie,1.93,1.66,2.75,19,N
spreken,luisteren,2.13,2.72,7.42,19,V
verliezen,falen,5.51,2.94,8.65,19,V
volkslied,rietje,0.87,0.71,0.51,19,N
vragen,bidden,1.62,1.31,1.72,19,V
waarde,geloof,2.98,2.67,7.14,19,N
