word1,word2,SimLex999,SD(SimLex),POS
take,deliver,4.37,1.16,V
speak,hear,3.02,0.76,V
analyze,evaluate,8.03,0.49,V
argue,rationalize,4.2,1.21,V
lose,keep,1.05,1.57,V
compare,analyze,8.1,0.84,V
disorganize,organize,1.45,1.3,V
go,allow,3.62,1.53,V
take,possess,7.2,1.14,V
learn,listen,3.88,1.65,V
destroy,construct,0.92,1.78,V
create,build,8.48,1.14,V
steal,buy,1.13,0.95,V
kill,hang,4.45,1.43,V
forget,know,0.92,1.6,V
create,imagine,5.13,1.7,V
do,happen,4.23,1.02,V
win,accomplish,7.85,0.8,V
give,deny,1.43,1.36,V
deserve,earn,5.8,0.62,V
get,put,1.98,1.33,V
locate,find,8.73,1.54,V
appear,attend,6.28,1.47,V
know,comprehend,7.63,1.39,V
pretend,imagine,8.47,1.63,V
satisfy,please,7.67,1.74,V
cherish,keep,4.85,1.78,V
argue,differ,5.15,1.22,V
overcome,dominate,6.25,1.58,V
behave,obey,7.3,1.24,V
cooperate,participate,6.43,1.5,V
achieve,try,4.42,1.14,V
fail,discourage,3.33,1.2,V
begin,quit,1.28,1.53,V
say,participate,3.82,1.3,V
come,bring,2.42,1.03,V
declare,announce,9.08,1.56,V
read,comprehend,4.7,1.75,V
take,leave,2.47,0.8,V
proclaim,announce,8.18,1.58,V
acquire,obtain,8.57,1.96,V
conclude,decide,7.75,1.17,V
please,plead,2.98,1.18,V
argue,prove,4.83,0.62,V
ask,plead,6.47,1.62,V
find,disappear,0.77,1.04,V
inspect,examine,8.75,1.39,V
verify,justify,4.08,1.11,V
assume,predict,4.85,1.02,V
learn,evaluate,4.17,0.88,V
argue,justify,5.0,1.13,V
make,become,4.77,0.82,V
discover,originate,4.83,1.33,V
achieve,succeed,7.5,1.29,V
give,put,3.65,1.47,V
understand,listen,4.68,1.66,V
expand,grow,8.27,1.28,V
borrow,sell,1.73,1.21,V
keep,protect,5.4,1.26,V
explain,prove,4.1,1.29,V
assume,pretend,3.72,1.15,V
agree,please,4.13,1.7,V
forgive,forget,3.92,1.5,V
clarify,explain,8.33,1.74,V
understand,forgive,4.87,1.32,V
remind,forget,0.87,1.56,V
get,remain,1.6,1.68,V
realize,discover,7.47,0.59,V
require,inquire,1.82,1.06,V
ignore,ask,1.07,1.27,V
think,inquire,4.77,1.23,V
reject,avoid,4.78,1.36,V
argue,persuade,6.23,1.7,V
pursue,persuade,3.17,1.39,V
accept,forgive,3.73,1.75,V
do,quit,1.17,1.81,V
investigate,examine,8.1,1.31,V
discuss,explain,6.67,1.53,V
owe,lend,2.32,0.82,V
explore,discover,8.48,1.33,V
complain,argue,4.8,0.9,V
withdraw,reject,6.38,1.97,V
keep,borrow,2.25,1.29,V
beg,ask,6.0,1.58,V
arrange,organize,8.27,1.1,V
reduce,shrink,8.02,1.82,V
speak,acknowledge,4.67,1.47,V
give,borrow,2.22,1.63,V
kill,defend,2.63,0.85,V
disappear,shrink,5.8,1.0,V
deliver,carry,3.88,1.44,V
breathe,choke,1.37,2.02,V
acknowledge,notify,5.3,0.62,V
become,seem,2.63,1.79,V
pretend,seem,4.68,1.63,V
accomplish,become,4.0,0.85,V
contemplate,think,8.82,1.59,V
determine,predict,5.8,1.37,V
please,entertain,5.0,0.71,V
remain,retain,5.75,1.12,V
pretend,portray,7.03,1.64,V
forget,retain,0.63,1.68,V
want,choose,4.78,1.56,V
lose,get,0.77,1.33,V
try,think,2.62,1.45,V
become,appear,4.77,1.51,V
leave,ignore,4.42,1.33,V
accept,recommend,2.75,1.01,V
leave,wander,3.57,1.33,V
keep,give,1.05,1.03,V
give,allow,5.15,1.32,V
bring,send,2.97,0.88,V
absorb,learn,5.48,1.16,V
acquire,find,6.38,1.74,V
leave,appear,0.97,1.45,V
create,destroy,0.63,1.1,V
begin,go,7.42,1.24,V
get,buy,5.08,1.02,V
collect,save,6.67,0.44,V
replace,restore,5.73,1.08,V
join,add,8.1,0.88,V
join,marry,5.35,1.41,V
accept,deliver,1.58,1.37,V
attach,join,7.75,0.94,V
put,hang,3.0,1.49,V
go,sell,0.97,0.9,V
communicate,pray,3.55,1.38,V
give,steal,0.5,0.62,V
add,build,4.92,1.1,V
bring,restore,2.62,0.74,V
comprehend,satisfy,2.55,1.0,V
portray,decide,1.18,1.37,V
organize,become,1.77,1.86,V
give,know,0.88,1.12,V
say,verify,4.9,0.65,V
cooperate,join,5.18,0.36,V
arrange,require,0.98,1.72,V
borrow,want,1.77,1.22,V
investigate,pursue,7.15,0.56,V
ignore,explore,0.4,1.19,V
bring,complain,0.98,1.57,V
enter,owe,0.68,1.67,V
portray,notify,0.78,1.17,V
remind,sell,0.4,1.61,V
absorb,possess,5.0,1.15,V
join,acquire,2.85,0.99,V
send,attend,1.67,1.44,V
gather,attend,4.8,1.97,V
absorb,withdraw,2.97,1.75,V
attend,arrive,6.08,1.18,V
