word1,word2,SimLex999,Std Deviation,POS
klif,staart,0.93,0.94,N
enkel,raam,0.86,0.8,N
prinses,eiland,0.87,0.81,N
container,muis,0.94,1.88,N
wagen,container,2.6,2.74,N
mensen,ballon,1.5,2.06,N
dollar,mensen,1.47,2.18,N
bad,ballon,1.12,1.22,N
buik,slaapkamer,0.77,1.08,N
fiets,slaapkamer,0.83,1.39,N
boomstam,bad,0.96,0.82,N
kom,staart,0.67,1.1,N
gaan,toestaan,1.33,1.36,V
nemen,stelen,4.14,2.54,V
luisteren,horen,7.22,2.4,V
denken,rationaliseren,5.34,3.2,V
plaatsvinden,voorkomen,5.26,3.91,V
voorbijgaan,verdwijnen,4.51,3.22,V
vermenigvuldigen,delen,3.63,3.41,V
pleiten,bedelen,1.73,1.85,V
beginnen,ontstaan,6.62,2.79,V
beschermen,verdedigen,7.6,1.96,V
doden,vernietigen,4.8,2.39,V
creëren,maken,8.76,1.22,V
accepteren,weigeren,2.25,2.51,V
negeren,vermijden,5.87,1.96,V
dragen,brengen,1.86,2.17,V
vertrekken,binnenkomen,1.88,2.35,V
kiezen,stemmen op,5.45,2.14,V
verliezen,falen,5.51,2.94,V
aanmoedigen,ontmoedigen,1.71,2.18,V
bereiken,volbrengen,6.14,1.77,V
maken,opbouwen,7.65,1.48,V
luisteren,gehoorzamen,6.05,3.15,V
delen,melden,6.1,3.28,V
ontvangen,geven,3.02,3.27,V
lenen,smeken,2.17,2.43,V
nemen,verkrijgen,4.83,2.82,V
adviseren,aanbevelen,7.26,2.92,V
imiteren,uitbeelden,5.75,2.57,V
winnen,slagen,5.54,2.96,V
denken,besluiten,2.2,1.92,V
groeten,ontmoeten,3.42,2.61,V
akkoord gaan,argumenteren,2.52,2.25,V
genieten,vermaken,4.37,2.48,V
vernietigen,maken,2.19,2.68,V
redden,beschermen,3.8,2.12,V
geven,lenen,2.8,2.94,V
begrijpen,weten,4.81,2.85,V
nemen,ontvangen,5.38,2.85,V
accepteren,erkennen,6.02,2.44,V
beslissen,kiezen,6.91,2.23,V
accepteren,geloven,4.06,2.79,V
houden,bezitten,6.22,2.68,V
rondzwerven,dwalen,7.83,2.47,V
slagen,falen,1.43,1.97,V
besteden,redden,1.06,0.75,V
vertrekken,gaan,8.03,2.19,V
komen,bijwonen,4.91,3.2,V
weten,geloven,2.87,2.12,V
verzamelen,ontmoeten,3.22,2.72,V
maken,verdienen,3.57,2.32,V
vergeten,negeren,2.34,2.2,V
vermenigvuldigen,toevoegen,3.67,2.74,V
krimpen,groeien,2.98,3.1,V
aankomen,komen,4.21,2.79,V
slagen,proberen,1.8,1.77,V
accepteren,ontkennen,1.8,1.59,V
aankomen,vertrekken,1.68,2.69,V
akkoord gaan,afwijken,1.35,2.06,V
sturen,ontvangen,1.78,2.26,V
winnen,domineren,3.56,2.42,V
toevoegen,verdelen,2.46,2.65,V
doden,wurgen,5.31,3.07,V
verwerven,krijgen,5.04,3.18,V
deelnemen,meedoen,8.9,1.71,V
vertrekken,achterblijven,1.95,2.63,V
gaan,komen,4.01,3.27,V
nemen,dragen,2.75,2.65,V
vergeten,leren,1.91,2.38,V
benoemen,kiezen,1.87,1.35,V
verloven,trouwen,4.94,3.36,V
vragen,bidden,1.62,1.31,V
gaan,sturen,1.72,1.73,V
nemen,leveren,2.57,3.08,V
spreken,luisteren,2.13,2.72,V
analyseren,evalueren,6.63,3.03,V
argumenteren,rationaliseren,4.0,3.39,V
verliezen,houden,1.09,0.81,V
vergelijken,analyseren,4.1,2.67,V
desorganiseren,organiseren,2.68,2.76,V
gaan,verkopen,0.96,0.87,V
nemen,bezitten,3.26,2.13,V
leren,luisteren,3.54,2.91,V
vernietigen,bouwen,1.46,1.88,V
creëren,bouwen,7.19,1.63,V
stelen,kopen,2.73,2.88,V
doden,ophangen,4.34,3.18,V
vergeten,weten,2.28,2.59,V
creëren,voorstellen,2.43,2.53,V
doen,gebeuren,2.86,2.59,V
winnen,bereiken,4.11,2.68,V
geven,weigeren,0.9,0.67,V
verdienen,nemen,2.57,2.38,V
krijgen,zetten,2.08,2.21,V
lokaliseren,vinden,7.37,2.65,V
verschijnen,bijwonen,3.78,2.83,V
weten,begrijpen,5.32,2.33,V
doen alsof,voorstellen,5.32,3.61,V
tevredenstellen,voldoen,5.49,2.61,V
koesteren,houden,6.06,2.73,V
argumenteren,verschillen,4.26,2.9,V
overwinnen,domineren,3.93,2.65,V
zich gedragen,gehoorzamen,5.84,2.99,V
samenwerken,deelnemen,4.21,2.29,V
bereiken,proberen,2.68,2.49,V
falen,ontmoedigen,2.67,2.73,V
beginnen,stoppen,1.89,2.66,V
zeggen,deelnemen,2.67,2.29,V
komen,brengen,2.83,1.45,V
bekendmaken,aankondigen,5.2,2.51,V
lezen,begrijpen,3.37,2.8,V
nemen,achterlaten,2.01,2.5,V
verkondigen,aankondigen,6.43,1.97,V
verwerven,verkrijgen,6.39,2.26,V
concluderen,beslissen,4.95,2.13,V
tevredenstellen,pleiten,1.56,1.38,V
argumenteren,bewijzen,6.23,2.39,V
vragen,pleiten,2.31,2.5,V
vinden,verdwijnen,1.49,2.32,V
inspecteren,examineren,5.27,3.04,V
controleren,rechtvaardigen,2.47,2.12,V
vermoeden,voorspellen,5.11,1.96,V
leren,evalueren,4.71,2.45,V
argumenteren,rechtvaardigen,4.65,2.01,V
maken,worden,2.15,1.42,V
ontdekken,ontstaan,3.98,3.02,V
bereiken,slagen,6.7,3.06,V
geven,plaatsen,2.96,2.43,V
begrijpen,luisteren,3.99,2.9,V
uitbreiden,groeien,7.18,1.78,V
lenen,verkopen,1.28,1.32,V
houden,beschermen,2.88,2.58,V
uitleggen,bewijzen,4.76,2.22,V
vermoeden,doen alsof,1.21,1.47,V
akkoord gaan,voldoen,3.04,2.48,V
vergeven,vergeten,3.01,3.04,V
verklaren,uitleggen,7.88,1.32,V
begrijpen,vergeven,1.73,2.27,V
herinneren,vergeten,1.55,1.94,V
krijgen,achterblijven,1.41,1.41,V
realiseren,ontdekken,3.85,2.52,V
nodig hebben,vragen,5.6,2.43,V
negeren,vragen,0.76,0.6,V
denken,informeren,1.4,2.02,V
afwijzen,vermijden,2.86,2.5,V
argumenteren,overtuigen,5.75,2.7,V
najagen,overtuigen,2.99,2.65,V
accepteren,vergeven,3.64,2.26,V
doen,stoppen,2.1,3.09,V
onderzoeken,herzien,3.24,2.87,V
discussiëren,uitleggen,2.33,1.54,V
verschuldigd zijn,lenen,3.43,2.51,V
verkennen,ontdekken,6.88,2.53,V
klagen,argumenteren,1.05,1.19,V
terugtrekken,afwijzen,4.41,2.73,V
houden,lenen,2.87,2.68,V
smeken,vragen,3.47,2.36,V
regelen,organiseren,6.76,2.87,V
verminderen,krimpen,6.94,2.27,V
spreken,erkennen,1.42,0.85,V
geven,uitlenen,2.07,1.65,V
doden,verdedigen,2.45,2.5,V
verdwijnen,krimpen,4.04,2.48,V
leveren,dragen,1.76,1.71,V
ademen,verstikken,2.03,2.51,V
erkennen,melden,1.98,2.13,V
worden,verschijnen,2.97,2.05,V
doen alsof,lijken,5.86,3.03,V
bereiken,worden,5.7,2.65,V
overnadenken,denken,6.74,1.66,V
bepalen,voorspellen,2.69,2.32,V
tevredenstellen,vermaken,3.58,2.37,V
blijven,behouden,5.54,2.61,V
doen alsof,uitbeelden,5.41,2.67,V
vergeten,onderhouden,1.09,1.33,V
willen,kiezen,3.56,3.08,V
verliezen,krijgen,2.0,2.59,V
proberen,denken,0.99,1.5,V
worden,lijken,2.19,2.55,V
vertrekken,negeren,1.61,1.5,V
accepteren,aanbevelen,2.42,2.22,V
vertrekken,zwerven,2.52,2.46,V
houden,geven,1.72,2.1,V
geven,toestaan,3.28,2.38,V
brengen,sturen,2.19,1.58,V
opnemen,leren,4.69,2.35,V
verwerven,vinden,2.7,2.2,V
vertrekken,verschijnen,1.27,1.36,V
creëren,vernietigen,1.44,2.42,V
beginnen,gaan,2.19,1.62,V
krijgen,kopen,2.12,1.29,V
verzamelen,opslaan,4.75,2.76,V
vervangen,herstellen,3.87,2.86,V
samenvoegen,toevoegen,3.43,3.16,V
samenvoegen,trouwen,2.74,2.55,V
accepteren,bezorgen,1.41,1.55,V
bijvoegen,samenvoegen,6.56,2.6,V
plaatsen,ophangen,3.91,2.69,V
gaan,binnenkomen,2.11,1.96,V
communiceren,bidden,1.69,1.67,V
geven,stelen,1.19,1.65,V
toevoegen,bouwen,2.42,2.06,V
brengen,herstellen,2.03,2.44,V
begrijpen,voldoen,2.38,2.69,V
belichamen,beslissen,1.15,0.77,V
organiseren,worden,1.34,1.79,V
geven,weten,1.05,0.94,V
zeggen,verifiëren,1.85,2.13,V
samenwerken,aansluiten bij,3.77,2.34,V
regelen,vereisen,2.13,1.67,V
lenen,willen,2.53,2.53,V
onderzoeken,streven,1.81,2.51,V
negeren,verkennen,1.89,1.75,V
brengen,klagen,1.51,2.4,V
binnentreden,verschuldigd zijn,1.07,0.96,V
belichamen,melden,1.44,1.86,V
herinneren,verkopen,1.41,2.44,V
opnemen,bezitten,1.57,1.22,V
samenvoegen,verwerven,3.89,3.11,V
sturen,bijwonen,1.85,1.95,V
verzamelen,bijwonen,1.06,1.71,V
opnemen,intrekken,2.29,2.67,V
bijwonen,aankomen,1.32,1.05,V
